Stations_ID; Mess_Datum; Qualitaets_Niveau; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     1078;19690701;   5;   19.0;  14.1;   4.7; 1013.10;   65.00;   1.1;   24.0;   10.2;    8.2;   4.8;   0.0;   0;     -999;   0;eor
     1078;19690702;   5;   21.4;  15.6;   2.0; 1012.80;   62.00;   2.1;   26.3;   13.6;   11.4;   6.7;   0.0;   0;     -999;   0;eor
     1078;19690703;   5;   20.2;  17.6;   5.3; 1016.20;   74.00;   1.9;   24.7;   14.6;   12.9;   6.1;   0.0;   0;     -999;   0;eor
     1078;19690704;   5;   18.3;  11.7;   2.7; 1017.10;   57.00;   2.1;   23.9;   14.1;   13.4;   6.8;   0.0;   0;     -999;   0;eor
     1078;19690705;   5;   19.4;  14.0;   5.3; 1013.20;   62.00;   3.7;   25.2;   14.6;   12.6;   9.0;   0.0;   0;     -999;   0;eor
     1078;19690706;   5;   19.9;  14.0;   7.0; 1008.40;   61.00;   2.0;   24.1;   12.5;   11.2;   6.4;  17.2;   1;     -999;   0;eor
     1078;19690707;   5;   13.2;  12.3;   7.7; 1001.90;   77.00;   7.3;   19.5;   11.2;   15.0;  20.0;   1.3;   1;     -999;   0;eor
     1078;19690708;   5;   13.2;  11.9;   7.0; 1009.90;   78.00;   4.3;   16.0;   10.4;    9.2;  10.8;   5.3;   1;     -999;   0;eor
     1078;19690709;   5;   12.0;  11.7;   5.3; 1013.90;   85.00;   2.8;   15.9;   10.0;    9.2;  11.8;   3.1;   1;     -999;   0;eor
     1078;19690710;   5;   13.3;  12.0;   7.0; 1020.40;   78.00;   2.5;   16.7;   10.0;    9.0;  11.1;   1.9;   1;     -999;   0;eor
     1078;19690711;   5;   13.9;  14.0;   7.3; 1019.60;   87.00;   4.2;   17.6;   10.5;    9.3;  13.7;  13.6;   1;     -999;   0;eor
     1078;19690712;   5;   17.1;  14.7;   6.7; 1024.30;   76.00;   3.2;   20.6;   10.5;    8.6;   8.0;   0.0;   1;     -999;   0;eor
     1078;19690713;   5;   18.0;  16.1;   6.3; 1024.80;   78.00;   3.1;   23.1;   14.1;   14.3;  11.1;   0.0;   1;     -999;   0;eor
     1078;19690714;   5;   16.1;  14.9;   5.3; 1025.20;   81.00;   2.2;   18.8;   12.6;   10.8;   6.5;   0.0;   0;     -999;   0;eor
     1078;19690715;   5;   21.5;  14.3;   0.0; 1020.40;   57.00;   2.9;   28.4;   11.1;    8.4;   8.5;   0.0;   0;     -999;   0;eor
